Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
1991,0.7637670325549664,2,287.6945495605469,292.0093994140625,296.86798095703125,297.8990783691406,300.0859069824219,292.69488525390625,282.5849914550781,51,4,8,13,18,6,4,0.3367457819595115,0.3393347674830188,0.2225528966422768,0.2827773313335117,0.2340147234851564,0.3819820431801919,0.2434572276874609,2.0,1.0
1992,7.936413812156037,2,283.70709228515625,293.8516845703125,295.56671142578125,294.6341247558594,297.3501892089844,292.5008850097656,285.62115478515625,40,1,7,11,10,5,7,0.1613428204749361,0.1880929085934385,-0.1702086877380665,0.4346467642969484,0.2646913313048048,0.1364758017472548,-0.0882463592062067,2.0,1.0
1993,6.267944367717391,2,284.8222351074219,292.7365417480469,293.3896484375,294.0435485839844,296.16534423828125,291.14111328125,284.897216796875,27,1,7,14,11,5,5,0.1113589789302668,-0.1309591888067053,0.0608978616248017,0.561722959173265,0.2499628620346799,0.2459507208787799,-0.0223538836206859,2.0,1.0
1994,-2.642360046966221,2,285.21881103515625,293.52655029296875,294.73504638671875,297.2647705078125,297.26177978515625,295.1100158691406,286.15118408203125,40,0,9,15,19,3,5,-0.0435098485039686,0.0846721073113375,0.4422331560576869,0.080632658058486,0.2901798159047772,0.0285178694825724,0.2703829291805287,2.0,1.0
1995,-6.094083320629192,2,281.3931579589844,290.129638671875,297.2695617675781,297.9784240722656,299.9554748535156,292.95587158203125,284.0918273925781,53,2,8,12,14,8,4,0.2609933527940147,0.3040165401237547,0.0435213235217904,0.4807550463413819,0.0380310723651863,-0.0799344056029512,0.3521475722792435,2.0,1.0
1996,-1.7872254532715175,2,278.9952087402344,288.220703125,296.6097717285156,296.72052001953125,300.9435119628906,292.06060791015625,284.1263122558594,53,8,9,13,12,5,3,0.5875348337684396,0.1191977130297992,0.1069060891209718,0.44545514759691,-0.0097636098496801,0.3079169909767373,0.1788143092284884,2.0,1.0
1997,-1.8219380261514857,2,280.81201171875,289.9678039550781,298.5023498535156,298.7484130859375,299.8671569824219,295.76727294921875,285.5704650878906,69,7,7,21,14,4,7,0.1998320925225937,0.0948810340998094,-0.3048670487848328,0.3734048129383779,0.1800983000774139,-0.0063747790810771,0.2780271496259602,2.0,1.0
1998,1.8019686469214982,2,287.6733703613281,292.5325927734375,292.35595703125,298.5289001464844,300.1497497558594,295.9651794433594,285.59722900390625,56,0,8,26,10,3,7,0.1335179501698593,0.1074638008914548,0.5415868179984553,0.0252093971752072,0.3461376715362056,-0.0595760512890421,0.1817594950162318,2.0,1.0
1999,-2.2155435389848677,2,284.43536376953125,290.0166015625,293.81097412109375,297.55706787109375,298.2144775390625,291.14654541015625,284.7659606933594,39,1,10,12,20,3,3,0.0207505408985653,0.572321667269226,0.1658807249370578,0.3082425376163014,0.3067466980863329,0.295012458269557,0.0232260798553197,2.0,1.0
2000,3.0255254161294047,2,283.8327331542969,291.5315246582031,292.8455810546875,298.4024353027344,297.9821472167969,291.82080078125,285.8931579589844,41,3,6,22,18,3,5,0.4327625209804878,0.2370203625102611,0.4203371400381425,0.3971223488070683,0.4425732033089514,0.195857366785921,0.3418344372398659,2.0,1.0
2001,-0.6754302851918936,2,285.04833984375,292.0142822265625,294.33599853515625,298.3950500488281,300.0362548828125,294.0076904296875,283.9657897949219,61,2,17,14,9,5,2,0.2292681885659383,0.1415977754937968,0.252801283902781,0.4740716686162026,-0.2151541857729285,-0.0215287726238887,0.0681309652106699,2.0,1.0
2002,-1.417312524362302,2,282.3032531738281,288.1340637207031,296.1314697265625,300.1594543457031,296.2200927734375,293.14031982421875,278.4991149902344,54,10,9,14,15,4,5,0.3747348052074001,0.046355278865121,0.0940220165072688,0.1294069523381194,0.5780929390182504,0.1510797141784634,0.3361704189865778,2.0,1.0
